Estado,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CDMX2020,11.3,5.3,8.1,21.9,32.8,59.7,103.8,107.8,97,20.1,1.5,0.5
EDOMEX2020,7.8,8,16.2,29.3,26.6,115.6,184.2,184.5,150.6,29.2,3.5,3.3
CDMX2021,4.7,0.9,2.6,12.5,73.3,153.1,92.1,126.7,120.4,49.7,1.3,0
EDOMEX2021,4.1,0.5,9.9,18.3,78.7,190.3,164.1,179.8,213.6,68.5,4.5,1.5
CDMX2022,3.8,1.6,5.2,44,19.1,92.3,114.3,114.4,78.6,58.6,11.7,9.5
EDOMEX2022,11.6,3.3,5,36.1,39,154.1,178.2,173.7,150.5,69,23.2,5.6
CDMX2023,0.4,0.1,21.8,10.1,43.2,28.2,118.1,97.3,62.9,37.3,34.2,4
EDOMEX2023,0.7,1.1,17.6,18.7,80.2,35.6,190.2,169.3,75.5,110,77.5,15.2


